hhid,year,month,subreg,region,covid,urban,eacode,mult,rmult,regurb,equiv,hsize,usize,rexp30,nrrexp30,fnrfxp30,cpexp30,fcpexp30,welfare,hmult,plinen,ctpline,hpline,spline,fplinen,povlinen,spline_n,hpline_n,poor_20,poor_new,quints,decile
101210,2020,2,Karamoja,Northern,Before covid,Rural,1012,344.94138,345,North rural,1.726433277130127,2,2,39358.391,71774.273,13916.936,39805.703,7362.6787,23056.613,689.88275,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101301,2020,2,Karamoja,Northern,Before covid,Rural,1013,263.95514,264,North rural,2.632499977946281,4,4,147839.52,285791.94,192199,152706.2,101681.83,58008.055,1055.8206,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,4
101302,2020,2,Karamoja,Northern,Before covid,Rural,1013,273.20273,273,North rural,2.386599957942963,3,3,87873.961,166516.2,91447.125,89829.898,48379.602,37639.277,819.60815,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
101303,2020,2,Karamoja,Northern,Before covid,Rural,1013,258.40656,258,North rural,3.229933306574821,5,5,168562.94,319972.41,181086.47,172652.09,95802.805,53453.766,1292.0327,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,4
101304,2020,2,Karamoja,Northern,Before covid,Rural,1013,263.95514,264,North rural,3.467266619205475,4,4,93117.953,178468.88,114113.5,95785.43,60371.125,27625.631,1055.8206,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101305,2020,2,Karamoja,Northern,Before covid,Rural,1013,277.82654,278,North rural,3.209299981594086,4,4,86783.875,168081.8,89553.422,90628.813,47377.75,28239.434,1111.3062,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101306,2020,2,Karamoja,Northern,Before covid,Rural,1013,267.9184,268,North rural,4.761766672134399,7,7,75806.234,144483.25,81732.961,77554.406,43240.375,16286.897,1875.4287,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101307,2020,2,Karamoja,Northern,Before covid,Rural,1013,254.70752,255,North rural,1.771000012755394,3,3,21898.711,41355.18,15398.039,22336.023,8146.2485,12612.097,764.12256,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101308,2020,2,Karamoja,Northern,Before covid,Rural,1013,254.70752,255,North rural,2.491433262825012,3,3,128441.52,244778.16,132662.11,132476.22,70184.164,53172.695,764.12256,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,4
101309,2020,2,Karamoja,Northern,Before covid,Rural,1013,236.21231,236,North rural,1.563800036907196,2,2,175113.55,330046.63,185783.64,179760.48,98287.82,114951.07,472.42462,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 4,8
101310,2020,2,Karamoja,Northern,Before covid,Rural,1013,252.06535,252,North rural,4.593733236193657,7,7,201300.66,384669.94,211348.2,208362.44,111812.61,45357.977,1764.4575,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,3
101401,2019,9,Karamoja,Northern,Before covid,Rural,1014,901.30286,901,North rural,.8627333045005798,1,1,98902.594,189754,136922.47,103181.3,73948.188,119598.15,901.30286,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 4,8
101402,2019,9,Karamoja,Northern,Before covid,Rural,1014,772.72119,773,North rural,2.974933326244354,4,4,156813.52,285388.59,89325.641,158763.91,48242.406,53367.215,3090.8848,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,4
101404,2019,9,Karamoja,Northern,Before covid,Rural,1014,901.30286,901,North rural,.8627333045005798,1,1,23518.914,43243.133,18676.205,24115.574,10086.522,27952.525,901.30286,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101405,2019,9,Karamoja,Northern,Before covid,Rural,1014,729.8606,730,North rural,.8694999814033508,1,1,183583.23,336026.63,155426.61,186976.92,83941.781,215039.59,729.8606,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 5,10
